,Date,FTR,HomeTeam,AwayTeam,season,predictions,proba_H,proba_D,proba_A,score
0,2023-08-11,A,Burnley,Man City,season23,A,0.09797284752130508,0.14640429615974426,0.7556228041648865,0 v 3
1,2023-08-12,H,Arsenal,Nott'm Forest,season23,H,0.8316877484321594,0.09408698230981827,0.07422531396150589,2 v 1
2,2023-08-12,D,Bournemouth,West Ham,season23,A,0.3290003538131714,0.2775281071662903,0.39347153902053833,1 v 1
3,2023-08-12,H,Brighton,Luton,season23,H,0.7031081914901733,0.15784549713134766,0.1390462964773178,4 v 1
4,2023-08-12,A,Everton,Fulham,season23,H,0.3760332763195038,0.2771431803703308,0.3468235731124878,0 v 1
5,2023-08-12,A,Sheffield United,Crystal Palace,season23,A,0.29100650548934937,0.2605281174182892,0.44846540689468384,0 v 1
6,2023-08-12,H,Newcastle,Aston Villa,season23,H,0.5704396963119507,0.20832958817481995,0.22123071551322937,5 v 1
7,2023-08-13,D,Brentford,Tottenham,season23,A,0.3043474555015564,0.28172606229782104,0.41392651200294495,2 v 2
8,2023-08-13,D,Chelsea,Liverpool,season23,A,0.2825530469417572,0.26885783672332764,0.4485890865325928,1 v 1
9,2023-08-14,H,Man United,Wolves,season23,H,0.6926256418228149,0.16706158220767975,0.14031273126602173,1 v 0
10,2023-08-18,H,Nott'm Forest,Sheffield United,season23,H,0.4848463535308838,0.25085729360580444,0.2642963230609894,2 v 1
11,2023-08-19,A,Fulham,Brentford,season23,A,0.3338954448699951,0.3000970184803009,0.3660075068473816,0 v 3
12,2023-08-19,H,Liverpool,Bournemouth,season23,H,0.7242539525032043,0.12451815605163574,0.15122783184051514,3 v 1
13,2023-08-19,A,Wolves,Brighton,season23,A,0.31223225593566895,0.23639556765556335,0.4513722062110901,1 v 4
14,2023-08-19,H,Tottenham,Man United,season23,A,0.2620391249656677,0.29793593287467957,0.4400249421596527,2 v 0
15,2023-08-19,H,Man City,Newcastle,season23,H,0.5747708678245544,0.2308678925037384,0.19436122477054596,1 v 0
16,2023-08-20,H,Aston Villa,Everton,season23,H,0.562293291091919,0.19290201365947723,0.24480471014976501,4 v 0
17,2023-08-20,H,West Ham,Chelsea,season23,A,0.2561931610107422,0.27015143632888794,0.47365543246269226,3 v 1
18,2023-08-21,A,Crystal Palace,Arsenal,season23,A,0.16017110645771027,0.26371699571609497,0.576111912727356,0 v 1
19,2023-08-25,H,Chelsea,Luton,season23,H,0.7037982940673828,0.1942591518163681,0.1019425094127655,3 v 0
20,2023-08-26,A,Bournemouth,Tottenham,season23,A,0.26922908425331116,0.2158942073583603,0.5148767232894897,0 v 2
21,2023-08-26,D,Arsenal,Fulham,season23,H,0.8286824822425842,0.11211319267749786,0.05920429155230522,2 v 2
22,2023-08-26,D,Brentford,Crystal Palace,season23,A,0.3406444489955902,0.29087767004966736,0.3684779405593872,1 v 1
23,2023-08-26,A,Everton,Wolves,season23,H,0.44891995191574097,0.25644442439079285,0.2946356534957886,0 v 1
24,2023-08-26,H,Man United,Nott'm Forest,season23,H,0.6952338218688965,0.17510312795639038,0.12966307997703552,3 v 2
25,2023-08-26,A,Brighton,West Ham,season23,H,0.6972963213920593,0.16362224519252777,0.1390814334154129,1 v 3
26,2023-08-27,A,Burnley,Aston Villa,season23,A,0.3143930435180664,0.3308977782726288,0.3547091484069824,1 v 3
27,2023-08-27,A,Sheffield United,Man City,season23,A,0.135288804769516,0.0901632085442543,0.7745479941368103,1 v 2
28,2023-08-27,A,Newcastle,Liverpool,season23,H,0.39768514037132263,0.244606614112854,0.35770824551582336,1 v 2
29,2023-09-01,A,Luton,West Ham,season23,A,0.25220686197280884,0.28207358717918396,0.4657195210456848,1 v 2
30,2023-09-02,D,Sheffield United,Everton,season23,A,0.27982085943222046,0.24343080818653107,0.4767483174800873,2 v 2
31,2023-09-02,D,Brentford,Bournemouth,season23,H,0.6430618762969971,0.16524524986743927,0.19169285893440247,2 v 2
32,2023-09-02,A,Burnley,Tottenham,season23,A,0.22479155659675598,0.2683212459087372,0.5068871378898621,2 v 5
33,2023-09-02,A,Chelsea,Nott'm Forest,season23,H,0.6513160467147827,0.22776244580745697,0.1209215372800827,0 v 1
34,2023-09-02,H,Man City,Fulham,season23,H,0.8167019486427307,0.1114313080906868,0.07186668366193771,5 v 1
35,2023-09-02,H,Brighton,Newcastle,season23,H,0.4235154092311859,0.26605692505836487,0.3104276657104492,3 v 1
36,2023-09-03,H,Crystal Palace,Wolves,season23,H,0.5418357849121094,0.2463327944278717,0.21183139085769653,3 v 2
37,2023-09-03,H,Liverpool,Aston Villa,season23,H,0.585217297077179,0.22939398884773254,0.18538875877857208,3 v 0
38,2023-09-03,H,Arsenal,Man United,season23,H,0.6020302176475525,0.2247501164674759,0.1732197254896164,3 v 1
39,2023-09-16,A,Wolves,Liverpool,season23,A,0.2056780904531479,0.21277543902397156,0.581546425819397,1 v 3
40,2023-09-16,H,Aston Villa,Crystal Palace,season23,H,0.3919351398944855,0.2744286358356476,0.33363625407218933,3 v 1
41,2023-09-16,H,Fulham,Luton,season23,H,0.554360568523407,0.1994670033454895,0.24617241322994232,1 v 0
42,2023-09-16,A,Man United,Brighton,season23,A,0.39024561643600464,0.2054443359375,0.40431007742881775,1 v 3
43,2023-09-16,H,Tottenham,Sheffield United,season23,H,0.7798391580581665,0.1335408240556717,0.08661999553442001,2 v 1
44,2023-09-16,A,West Ham,Man City,season23,A,0.14955557882785797,0.13954545557498932,0.7108989953994751,1 v 3
